name,cal,protein,carb,fat,cost
迷迭香雞胸肉,107,19.7,5.2,0.8,99
優質高纖飯食,195,2.8,41.2,2.1,20
生滾菇菇滑雞煲粥,226,9,41.5,2.6,59
白飯,272,8,60,0.5,15
生滾皮蛋煲粥,271,15.2,39,6.1,59
日式蕎麥風味涼麵,287,13.2,51.3,3.1,49
優質五穀飯,301,5.3,64.4,2.4,18
韓式泡菜涼麵,399,15.1,69.5,6.5,65
豚骨味噌烏龍麵,386,18.6,55.4,10,69
生滾海鮮煲粥,309,13.9,58,2.4,65
匈牙利雞胸彩便當,399,15.7,66.7,7.5,85
川麻雞丁拌麵,456,23.1,52.3,17,69
栗子南瓜雞肉丸燉飯,488,14.8,69.7,16.7,85
香蔥椒麻涼拌麵,405,13.7,46.4,18.2,55
一番涼麵,427,13.3,59.4,15.1,45
起司歐姆蛋咖哩烏龍麵,479,18.8,63.5,16.5,75
香烤豆腐雞肉義大利麵,429,22.7,53.4,13.8,85
香滷雞排肉燥麵,418,17.6,57,13.3,60
蒜香辣椒義大利麵,448,18,62,14.2,69
經典番茄肉醬義大利麵,499,21,76,12.1,61
健身雞肉餐盒 ,446,26.4,58,11.9,89
川味紅燒牛肉麵,562,27.1,69.4,19.6,85
鹽水意麵,57.6,19.4,57.6,29.8,65
懷舊醬燒雞排便當,600,22,95.6,14.4,79
義式完熟蕃茄牛肉燉飯,544,17.5,78.4,17.5,85
港式滑蛋牛肉燴飯,649,18.4,100.3,19.3,70
統一陽光無糖高纖豆漿,183,15.3,15.8,8.6,20
光泉無加糖先豆漿,20,13.6,6.4,6.4,20
十品目田園沙拉,51,2,9.5,0.7,55
凱薩沙拉,48,1.7,8.8,0.6,55
蘋果油醋雞肉沙拉,192,9.7,28.3,4.5,65
和風銀耳彩沙拉,171,4.4,33.9,2,65
日式野菜雞肉沙拉,188,9.2,22.7,6.8,65
奶油白醬烤時蔬,190,6,26.6,6.7,65
培根雙薯洋芋沙拉,135,2.7,18.8,5.4,42
溏心蛋洋芋沙拉,191,6.5,21.5,8.8,42
彩蔬洋芋雙饗沙拉,127,3.1,17.2,5.1,49
鮪魚乳酪沙拉,201,7,14.8,12.6,42
燻雞起司洋芋杯,204,8.2,25.5,7.6,45
青檸烤雞握沙拉,217,9.2,23.3,9.6,59
馬鈴薯洋芋火腿握沙拉,260,4.4,30.7,13.3,49
青檸晶凍雞肉麵沙拉,271,11.8,36,8.9,65
日式醬燒腿排握沙拉,263,9.9,27.4,12.6,59
墨西哥雞肉豆腐握沙拉,215,11.6,22.3,8.9,62
泰式大沙拉,303,13.8,36.5,11.1,179
大凱薩沙拉,469,13.1,20.3,37.1,179
芋見肉鬆三明治,183,4.6,27.4,6.1,42
巧克力起司三明治,172,5,27.2,4.9,35
馬鈴薯蛋三明治,164,5,25.1,4.9,39
火腿起司蛋三明治,194.2,5.7,23.2,8.7,32
經典總匯三明治,180,6.5,21.8,7.4,35
雙起司蛋三明治,201.7,5.8,20.2,10.9,35
野郎燒豚堡,294,9.5,30.4,14.9,55
紐奧良風味烤雞三明治,239,15.6,17.8,11.7,49
豬肉蛋堡,265,11.9,27.4,12,35
溏心蛋沙拉三明治,208,6.6,18.9,11.8,39
瘋狂起司三明治,232,8,26.4,10.5,39
火腿起司蛋堡,261,13.6,30.9,9.2,42
焗烤薯餅三明治,278,7.4,28.3,14.9,42
豬肉起司堡,215,10.1,24,8.7,35
法式太陽蛋菇菇厚片,291,11.9,28.8,14.2,45
厚蛋火腿巧克力堡,256,12.6,24.8,11.8,59
香雞起司蛋堡,312,13.8,33.4,13.6,49
