name,cal,protein,carb,fat,cost
薄皮嫩雞(棒腿),167,14.6,7.2,8.9,55
卡拉脆雞,236,15.7,11.5,14.1,55
上校薄脆雞(棒腿),192,19.8,9.6,14,55
美式BBQ醬烤煙燻雞,228,24.5,5.5,12.1,55
墨西哥莎莎霸王捲,456,28.3,59.1,10.7,109
紐奧良烤雞腿堡,441,23.4,46.3,14.7,99
花生熔岩卡拉雞腿堡,716,35.6,76.1,29.4,119
卡拉雞腿堡,445,25.8,50.7,15.2,99
上校雞塊(4個),197,13.5,8.3,12.2,45
上校雞塊(8個),393,26.9,16.6,24.3,90
義式香草紙包雞,386,41.7,3.3,22.8,116
上校薄皮嫩雞(棒腿),167,14.6,7.2,8.9,55
上校經典脆雞堡,386,24.5,48.5,10,90
巴黎卡菲嫩雞捲,570,21.7,303,51.9,90
鮮蔬沙拉(含千島醬),88,1.2,6,6.6,40
原味蛋塔,182,2.6,17.3,11.4,32
勁爆雞米花(大),183,17,11.1,7.2,45
香酥脆薯(中),185,2.5,25.9,8.7,39
經典玉米,86,3.1,14.7,1.7,29
玉米濃湯(小),126,5.9,16.7,4,40
雞汁風味飯,259,4.8,49.8,4.5,39
經典原味雞肉堡+冰心地瓜,348,10.2,51.5,11.7,59
上校雞塊(3塊)+冰心地瓜,190,6.5,28.4,6,59
經典小雞腿排,174,9.7,6.9,12,59
