name,cal,protein,carb,fat,cost
蕈菇安格斯黑牛堡,575,30,38,34,119
BLT安格斯黑牛堡,525,28,41,29,109
BLT辣脆鷄腿堡,533,24,50,27,109
BLT嫩煎鷄腿堡,435,24,41,20,109
凱撒脆鷄沙拉,370,20,22,23,99
義式烤鷄沙拉,244,21,8,15,99
大麥克,534,27,43,28,72
雙層牛肉吉事堡,446,27,31,25,62
安格斯黑牛堡,416,26,34,21,99
漢堡,246,16,29,9,30
吉事漢堡,295,16,30,13,42
麥香鷄,356,14,41,16,49
勁辣鷄腿堡,490,21,43,26,72
嫩煎鷄腿堡,373,24,41,13,82
麥脆鷄腿,444,26,17,31,55
麥脆鷄翅,373,24,15,21,45
麥克鷄塊(6塊),290,17,16,18,59
麥香魚,321,14,37,13,49
黃金起司豬排堡,423,18,47,18,52
千島黃金蝦堡,379,14,48,15,69
玉米濃湯(小),100,2,18,2.5,33
薯條(中),330,4,41,17,42
搖搖樂雞球(6顆),189,10,16,8,49
搖搖樂雞腿排,319,17,16,21,55
蘋果派,240,2,32,12,32
