name,cal,protein,carb,fat,cost
極上和牛堡,702.4,24.4,32.2,53,110
金品牛蒡珍珠堡,477.3,17.4,66.6,15.8,95
花生好事烤雞福堡,510.8,23.4,47.4,25.4,90
藜麥燒肉珍珠堡(牛),481.2,12.4,55.4,23.2,75
燒肉珍珠堡(牛),471.1,13.1,52.4,22.9,70
藜麥薑燒珍珠堡,355.1,15.8,56.9,7.2,70
薑燒珍珠堡,355.6,15.5,56.6,7.5,65
藜麥海洋珍珠堡,388.9,11.5,66.4,8.3,80
海洋珍珠堡,390.2,11.3,66.2,8.6,75
藜麥杏鮑菇珍珠堡,332.3,8.6,66.4,3.6,75
杏鮑菇珍珠堡,333.6,8.4,66.1,3.9,70
藜麥元氣和牛珍珠堡(牛),773.2,24.6,60.3,42.3,110
元氣和牛珍珠堡(牛),722.7,24.3,60,42.6,105
摩斯漢堡(原味/辣味)(牛),433.9,17.8,38,23.5,70
摩斯吉士漢堡(原味/辣味)(牛),476.9,20.4,38.4,27.1,75
蜜汁烤雞堡,315.5,15.9,24.3,17.2,70
蜜汁烤雞起司堡,357.2,18.4,24.8,20.6,75
摩斯鱈魚堡,508,20.5,39.6,28.7,70
黃金炸蝦堡,390,16.4,41.2,17.7,75
摘鮮綠黃金炸蝦堡,250,11.1,17.5,15.3,70
厚切培根和牛堡(牛),744.4,27.8,36.6,53.9,100
輕檸雙牛堡(牛),609.6,20.2,22.7,48.8,100
摩斯熱狗堡,278.4,12.7,31.1,11.6,55
辣味吉利熱狗堡,287.4,13.3,31,12.3,70
薯條(S),267,2.4,26.4,12.8,35
摩斯雞塊(5塊),431,19.2,10,34.8,55
雞腿天婦羅,221.4,11.5,4.4,17.5,50
檸檬椒鹽雞腿塊,275.8,18,12,17.3,65
檸檬椒鹽MOS洋蔥圈,324.8,2.9,30.5,21.2,60
雙醬和風薯條,567,5.8,51.4,39.8,65
金磚蝦餅,262.1,3.8,18.1,19.4,65
方塊薯餅(3個),227.2,2.3,18.5,45.6,35
北海道可樂餅,176,2.4,18,9.5,35
和風炸雞,472,19.5,15,36,65
帶骨香腸,209,13.3,2.2,16.4,50
法蘭克熱狗,158,9.5,6.5,10.4,35
新夏威夷鮮蔬沙拉,97,2.8,11.2,4.6,40
藜麥地瓜烤雞沙拉,200.4,12.3,33.5,2.1,85
雞肉地瓜總匯沙拉,166.5,10.4,12,8.7,65
豚汁蔬菜湯,55,3.8,8.9,0,50
玉米濃湯,78,1.4,11.2,3,40
鮮菇濃湯,79,1.7,10.8,3.3,40
